author,last_updated,title,review,rating,app_version,net_helpfulness,helpfulness_count
15,Khasi عبد الله,2026-04-06T20:02:54-07:00,"What happened, Telegram?","Seriously. Who asked for “Cocoon A.I.”? And if anyone sane did indeed ask, because they cannot write their own messages without handholding, did they ask for the button to be above “Send”? Why? And did they ask for this feature to override the native, secure “Translate” feature in iOS? Did they ask for Cocoon to translate the names of my contacts? Why? What for? At least give us an opt–out toggle. And I mean tomorrow.

Not only is this app unfashionably late to the party (Apple Intelligence, itself a late entrant to this bonfire of the “vanities,” was released several months ago), they seem to be blind to the fact that most people have grown to absolutely despise A.I. invading every single aspect of our daily lives, trivializing our humanity and our lived experiences. Now Telegram has also contrived an additional security layer, to be iterated and implemented by its security team (insofar as Telegram does have one), which has never been proven to know what they’re doing. Fantastic.

I would have long ago switched to Signal, if not for Telegram’s incumbency among my peers and groups. Telegram’s reputation for gratuitous security issues, and as a shelter (cocoon? I’ll show myself out) for the most heinous Internet crimes and botnets, is now mainstream enough among non–tech people that I thought they were working more to improve. But this advent of A.I. underscored the notion that they may not be paying attention at all. I no longer say to new acquaintances that I have Telegram, unless they say that they do. And I have been an advocate since 2016; I’d say to everyone that, no matter its issues, Telegram remained undefeated and unparalleled in its user experience among messaging platforms. The crown has slipped. What happened?",2,12.6.1,0,0
16,VICTORIA CHANEL,2026-04-06T19:58:00-07:00,Victoria,I just LOVE ♥️it!😘,5,12.6.1,0,0
17,ЗенкТ Бротский,2026-04-06T19:01:51-07:00,Спасибо Пашка,Люблю тя Пашка❤️,5,12.6.1,0,0
18,Genniesblum,2026-04-06T17:22:07-07:00,New Update is horrible,"The new music and audio player update is really frustrating. It was much better before, I used to listen all the music in this app and now it’s impossible to use. Please consider bringing the old version back",2,12.6.1,0,0
19,Glugshot,2026-04-06T15:05:46-07:00,Can’t Unarchive Chat,Accidentally archived chat. Instructions to unarchive: swipe left on the chat in archived chats. It does not work. Tried multiple times. Each attempt just puts me back in my regular chats aka unarchived chats. I had to delete my chat to have my contact chat go back to being unarchived.,1,12.6.1,0,0
20,marseLEAN,2026-04-06T13:04:53-07:00,исправите музыку,"исправьте ваше новое оьновление 
теперь приходиться листать весь плейлист на верх что бы закрыть окно с музыкой",1,12.6.1,2,2
21,Honey Montana.,2026-04-06T12:09:48-07:00,Pкновских мaмoк eбaл на спине разработчика мax,Telegram actually is a great messenger!,5,12.6.1,0,0
22,Gg_kotsiq,2026-04-06T11:05:50-07:00,Going down,"I want safe and secure messaging app. Amount of spam I get is growing. Developers keep adding features I don’t care about. 
Please stay true to Telegram that we know.",2,12.6.1,0,0
23,londonderrjzjsjzk,2026-04-06T10:47:15-07:00,Terrible app,They need to ban telegram there is nothing but cp on here and it’s very weird and pretty obvious,1,12.6.1,0,0
24,тополь тополь я береза,2026-04-06T10:40:28-07:00,.,1 звезда потому что заблокировали,1,12.6.1,0,2
25,T. Arden,2026-04-06T09:54:26-07:00,Forced AI Slop,Telegram updated and now some forced AI “editor” appears every time I type a message that’s longer than one sentence long. Literally who asked for this? Very disappointed to learn that Pavel Durov has fallen for the AI scam like everyone else. Off to Signal I guess.,1,12.6.1,0,0
26,FroJKAR,2026-04-06T09:07:43-07:00,You the best Дуров),Просто сделайте для русских постоянный прокси от вас самих,5,12.6.1,0,0
27,vazyarmour,2026-04-06T08:23:47-07:00,Whats wrong with music player,"Once you open it, after you just can’t close it.. gotta reopen the app again",1,12.6.1,0,0
28,David_Mathews,2026-04-06T08:10:58-07:00,I really love using Telegram it’s about fun 🤩 and you can have a wallet,Amazing 😻,5,12.6.1,0,0
29,Енеееек,2026-04-06T07:37:06-07:00,Тг,Лучший мессенджер,5,12.6.1,0,0
30,Queen Corie,2026-04-06T07:35:13-07:00,My problem,"When I’m told I’m texting someone, I don’t know where it’s coming from and find only scamming. I want to know how to use this app and how to get proof of their location and that they are who they say they are.",1,12.6.1,0,0
31,Kiraraz2026,2026-04-06T06:38:56-07:00,телеграмм самый лучший,самое лучшее приложение и никакой макс его не заменит!!!!,5,12.6.1,0,0
32,RhombusTicks,2026-04-06T06:05:17-07:00,Disabled my account,They disabled my account for no reason; no warning and likely a malicious cyber attack; had to dispute via my credit card company to get my money back,2,12.6.1,0,0
33,是好事還是壞事就是,2026-04-06T03:03:16-07:00,我是中国人,我是中国人,5,12.6.1,0,0
34,pooyan.e,2026-04-06T02:25:55-07:00,The best messenger app ever,All you need,5,12.6.1,0,0
35,Chee097,2026-04-06T02:11:59-07:00,No report option,Good app for communication but you can’t report accounts even if they are selling/advertising child pornography or scammers. Telegram needs to step it up and add the report option.,2,12.6.1,0,0
36,*0***6,2026-04-06T00:49:42-07:00,лучший мессенджер,"удобный , понятный , надежный. никакой вонючий макс людям не нужен , телеграм не заменить",5,12.6.1,0,0
37,Phyo h Kyaw,2026-04-06T00:21:41-07:00,Typing Words Returns Unrelated Results,"Saved Messages search is no longer accurate.
Typing simple words like “avatar” returns unrelated results such as “available” or “aviation.”",4,12.6.1,0,0
38,ЭльПипи,2026-04-05T18:41:41-07:00,Не забанят тг!,Лучше мэссанджера быть не может,5,12.6.1,0,0
39,Hamido1990,2026-04-05T14:53:29-07:00,Problem,"Terrible experience. I keep getting “Too many attempts” and can’t log in at all. I waited for days and still nothing works. No code, no access, no support.

Please fix this ASAP!",1,12.6.1,0,0
40,() Kislinka (),2026-04-05T14:29:00-07:00,Telegram — лучший мессенджер.,"Телеграмм — самое лучший месенжер в России. Быстро работает (Но конечно с VPN), очень удобный и в нём всё работает как надо. В 2026 году мессенджер Telegram самый лучший, ему нет конкурентов (опять же работает только с VPN, так как с 1 апреля Телеграмм перестал работать без него).",5,12.6.1,0,0
41,shupshun,2026-04-05T13:29:56-07:00,Лучший мессенджер,"Лучший мессенджер, который я когда-либо скачивал",5,12.6.1,0,0
42,Hina_62,2026-04-05T11:36:04-07:00,Лучший мессенджер,Самый лучший мессенджер,5,12.6.1,0,0
43,Что писать?😎,2026-04-05T11:10:40-07:00,ничего не грузит,"ничего не грузит,сообщения ели как доходят с впн и прокси.",3,12.6.1,0,0
44,T-Jiggy,2026-04-05T10:36:51-07:00,Ditch it,"Telegram used to be great, but the addition of a subscription service, AI & a bunch of annoying chat-bots completely ruined the app.

I implore you all abandon Telegram & switch to Signal instead.",1,12.6.1,0,0
45,Ventottogrammi,2026-04-05T10:24:43-07:00,Report users,You can’t report all users if you get scammed harmed or they are doing illegal activities,3,12.6.1,0,0
46,Fyodor30,2026-04-05T10:18:22-07:00,Pasha,Pasha Durov legend,5,12.6.1,0,0
47,Ivanstro,2026-04-05T10:17:27-07:00,хз что нужно сделать что бы придумать что то круче,топ,5,12.6.1,0,0
48,миша пулемётчик,2026-04-05T09:37:54-07:00,😎,"команда телеграма лучшие, делайте свою работу",5,12.6.1,0,0
49,Trrrrvl53,2026-04-05T08:11:32-07:00,Лучший месседжер,Вопрос с последним обновление на айфоне 12 как закрывать музыку если окно никак не сворачивается .,5,12.6.1,0,0
50,Keomisio,2026-04-05T06:01:27-07:00,Умерло,"Приложение не отвечало вообще никак, пытался менять разные прокси, ничего не помогало. Есть платный впн, работает с ним все, дискорд, ютуб, инста, но не телеграмм. Решил переустановить, по итогу теперь и войти в свой аккаунт не могу, выдает ошибку «проверьте интернет соединение». Я верю, что тг восстановится, потому что проблема точно не в впне, лежит именно тг",3,12.6.1,0,0
51,kniaginsky,2026-04-05T05:34:10-07:00,Musical player now broken,UI works wrong,4,12.6.1,0,0
52,Itsnotslva,2026-04-05T05:10:59-07:00,The Best app in the world fr,Love Telegram from Iran 💚🦁❤️,1,12.6.1,0,1
53,uliashaaaaa.ssss,2026-04-05T01:47:53-07:00,кек,барни я люблю телеграмм кто в бравл 🫰🏻🫰🏻,5,12.6.1,0,0
54,Lo.Egor,2026-04-05T01:07:04-07:00,Егор,"Павел самый умный человек создавший этот мессенджер, лучше этого месенжера никогда не видел",5,12.6.1,0,0
55,Reewy1,2026-04-05T01:05:34-07:00,Application crash,"The app crashes on its own, i have enough memory, the problem is not with my device, this only happens  in Telegram. I’ve already reinstalled the app, but there’s no result",1,12.6.1,0,0
56,Винкс емае 🧖🏻‍♀️,2026-04-05T00:54:28-07:00,ПАВЕЛ ЛУЧШИЙ,спасибо Паша за лучший мессенджер 👏🏻,5,12.6.1,0,0
57,Humble Luosifen,2026-04-05T00:31:45-07:00,Why was the time display removed in the bottom right corner of the message,"My suggestion is,Create a switch that can display or not display",3,12.6.1,1,1
58,Пллплдпдв,2026-04-04T22:03:14-07:00,Лучший мессенджер !,Заблокировали твари !,5,12.6.1,1,1
59,Владимир1402,2026-04-04T21:56:03-07:00,РЕБЯТА ВЫ ЛУЧШИЕ,"Павел Дуров благодарим всей росиией за то что не оставили ситуацию с телеграммой на территории РФ,и продолжаете бороться,у нас всё получится🙂",5,12.6.1,1,1
60,Walter moumal,2026-04-04T17:10:27-07:00,Support's response to violations is very slow,I have reported a channel that violates the terms and policies of Telegram for a week and has not been closed yet. This indicates the weakness of the application support and a delay in protecting it. I hope they open an adaptation for young people or employees or develop support tools because it is slow and does not respond.,1,12.6.1,0,0
61,Liyah Samuel,2026-04-04T16:00:28-07:00,Scam,People was still calling after I deleted the app,1,12.6.1,0,0
62,TedoGlHf,2026-04-04T15:13:36-07:00,Can’t get code To log in,"I can’t get a code or call to log in To existing account with my MAIL, thats crazy how big this app is, and how “They don’t care” on support, wrote 2 times maybe even more to support, but got nothing.. no one’s answering, solve this problem PLEASE",3,12.6.1,0,0
63,X100user,2026-04-04T14:00:40-07:00,Лучший мессенджер в отличии от…,"Мессенджер который ты хочешь поставить, а не который выпихивают на насильно. Спасибо за заботу!",5,12.6.1,0,0
64,аноним960,2026-04-04T13:31:12-07:00,выбор дизайна в приложении телеграм,"многим людям особо не нравится новый дизайн приложения, я считаю нужным добавить выбор дизайнов между новым, так и старым дизайном приложения, так как многие привыкли к старому дизайну и им не нравится новый.",5,12.6.1,0,0
65,амон гас 2020 был лучше!,2026-04-04T13:04:28-07:00,Жизнь,"Брат сорян чувак поставлю 5 как тока модно буде халявно выкладывать истррии чуаак поцми это осен вадно врубаешь внатуре прям очень кто будет оуенивающе смотреть мои философские истории и думать блин этот чел типа ну вратуре делает реальную тему чувак ты видал это? Зацени ка.и они такие будут восхищаться и у них мозги взорвутся от такого потомучто ток реальные пацаны заценят такую жетуху как это, врубаешь за что базарю тхо? Вы хоть когда нибудь видели не провокационные видосы а? Почему кола ненавидит пепси? Почему люди дышат возлух? Почему начо варга умер в 6 сезоне 3 серии я очень много плакал внатуре это было грустно очень брат я думаю ты понимаешь меня да, так да пожалуйста можно халява типа",3,12.6.1,0,0
66,Рыцарь земель,2026-04-04T09:29:25-07:00,Телеграмм,Когда вернуть ?,5,12.6.1,0,0
67,mefova444,2026-04-04T04:45:54-07:00,спасибо🩶,"прекрасное приложение,спасибо за этот удобный месенжер",5,12.6.1,0,0
68,Ultramarin2,2026-04-04T04:38:59-07:00,Супер,Супер,5,12.6.1,0,0
69,Ask1n,2026-04-04T04:29:54-07:00,Тг,"Лучший месенжер форевер, ркн дети шлх",5,12.6.1,0,0
70,Человек эту,2026-04-04T03:58:47-07:00,В,Ваще пздц вассап Месседжер,5,12.6.1,0,0
71,minggian001,2026-04-04T03:31:19-07:00,"too bright, white, and glaring","The new Liquid Glass UI in Telegram iOS 12.6 is too bright, white, and glaring. The heavy transparency hurts the eyes and is uncomfortable to use. Please add a toggle to turn off the glass effect or restore the previous UI. Thank you.",2,12.6.1,1,1
72,Naswood,2026-04-04T03:16:53-07:00,Not powerful,The sound mostly is not clear and you have to pay to get premium to be able to have a better sound and to be able to post more than two pictures a week in your story.,1,12.6.1,0,0
73,arabkaaaa,2026-04-04T02:39:41-07:00,обожаю,телеграм — лучший мессенджер,5,12.6.1,0,0
74,олек примо,2026-04-04T02:15:33-07:00,дуров лучший,"огромное спасибо всей команде телеграмм, что не прогибаются про правительство россии и бороться с блокировкой мессенджера, мы все вам очень благодарны!",5,12.6.1,0,0
75,ANDYPSYX,2026-04-04T01:50:19-07:00,Лучший мессенджер,Живи 💪🏻🙏,5,12.6.1,0,0
76,AntonTrof,2026-04-04T01:35:40-07:00,Say no to censoring,❤️,5,12.6.1,0,0
77,evrcal,2026-04-04T00:42:55-07:00,Too difficult to navigate,"I literally can’t find any of the things I wanted to find, for example, I wanted to search up something for my discord server and couldn’t find a search bar.i wanted to make a bot and it kept bringing me to like 400 different forms. Waste of space if you ask me. There’s also nothing fun about it unfortunately.",1,12.6.1,0,0
78,polly_oasis,2026-04-04T00:26:32-07:00,Самый лучший мессенджер,"Роскомпозор, создатели маха и остальные, кто наживаются на этом, желаю вам всего плохого",5,12.6.1,0,0
79,powershado,2026-04-04T00:23:05-07:00,from Pavlo de Dur,"Паша, огромное спасибо тебе за это приложение! С тг никогда не уйду в макс. Продолжаем войну против ркн",5,12.6.1,0,0
80,cool6967,2026-04-03T23:25:55-07:00,😶‍🌫️,Лучшее приложение в галактике,5,12.6.1,0,0
81,Ирсен,2026-04-03T23:21:28-07:00,Отличный мессенджер,Любимая удобная телега.,5,12.6.1,0,0
82,TEXHEK,2026-04-03T23:05:25-07:00,Best messenger,This is the best thing that humanity has ever done!,5,12.6.1,0,0
83,Амбассадор Телеграма,2026-04-03T22:28:10-07:00,Last update,UI отправился в пятничный запой. Иногда информация о моем сообщении (пкм) багует дизайн. Индикация текущей папки сливается с фоном блока папки и не понятно в какой папке ты находишься. Думаю еще ошибки есть,5,12.6.1,0,0
84,Мори’а,2026-04-03T22:04:07-07:00,Телеграмм лучшее приложение,"Это лучшее приложение для общения. Удобный интерфейс. Несмотря на блокировки в России, я собираюсь всеми силами держаться за него, так как пока что такого же хорошего приложения я найти не могу и не найду никогда. Спасибо телеграмму что он есть и что борется за пользователей из нашей страны.",5,12.6.1,0,0
85,мишель08,2026-04-03T21:44:21-07:00,самый лучший мессенджер❤️,спасибо паше дурову,5,12.6.1,0,0
86,A Fast Fox,2026-04-03T20:42:26-07:00,A.I. added... DO NOT UPDATE,"They have added A.I. ""editor"" to the app. Kiss your privacy and security goodbye.

Once again tech bros shoving down your throat what you don't want, don't need and never asked for!

Part of a deal they made with Elon's data scrapping slop machine",1,12.6.1,0,0
87,Tomatizm,2026-04-03T20:29:05-07:00,Audio player UI,"When you click on a playing track, an updated player appears with a track bar now at the bottom, and a track list at the top. The problem is that it WON’T slide down until you slide down ALL tracks in the list. Please fix it 🙏",3,12.6.1,1,1
88,Jonshoxa,2026-04-03T18:48:51-07:00,Xarom bulgan,Mp3 kirsam qaytib chiqmayapti qotib qolyapti eski xoliga qaytaring,1,12.6.1,0,0
89,Digistylo,2026-04-03T18:09:27-07:00,Gen Ai inclusion,"Used this for years, but looking for alternatives as soon as their AI bot popped up asking to rewrite all of my messages like some kind of environmentally destructive clippy. 
I don’t appreciate it.",1,12.6.1,0,0
90,Edgar Mirakyan,2026-04-03T17:58:08-07:00,❤️❤️,Спасибо разработчикам за лучший мессенджер!,5,12.6.1,0,0
91,Zefirka_3,2026-04-03T17:39:50-07:00,Спасибо!!!🙏🏻,Храни Господь Пашу Дурова!!!🫶🏻🙏🏻,5,12.6.1,0,0
92,rizramirez,2026-04-03T17:35:48-07:00,.,"I love this app a lot, is my fav social media, the only annoying thing is when it send me the “username have telegram” I mean idc who enter to the app, and in the new update is a little bit unconfortable when a slide my finger and some doc just closeee plsss fix it",5,12.6.1,0,0
93,SELFHIGH,2026-04-03T17:22:18-07:00,Пофиксите интерфейс,"Пофиксите то что когда я слушаю музыку и нажимаю на аудио, открывается список плейлиста и вот там я не могу закрыть окно пока не прокручу весь список песен, это глупо",4,12.6.1,1,1
94,avielovesgames,2026-04-03T16:55:12-07:00,so much crime and child content,"make reporting so much easier, mods need to be on it more",1,12.6.1,0,0
95,Daniel Jastrzebowski,2026-04-03T16:39:28-07:00,ПАША ДУРОВ И КОМАНДА ТГ ЛУЧШИЕ❤️❤️❤️❤️,Спасибо вам за свободный мессенджер🛐,5,12.6.1,0,0
96,чтобычто,2026-04-03T16:19:04-07:00,Человеческое,"Спасибо, Паша, что не бросаешь нас",5,12.6.1,0,0
97,LOVING ADRIAN,2026-04-03T15:30:53-07:00,Телеграмм в России,Самое лучшее приложение,5,12.6.1,0,0
98,CarbonCrabUTC,2026-04-03T15:29:00-07:00,AI? For shame.,"I have been using this app for roughly half of my life now. And the fact that you have decided to ruin it by adding AI is really upsetting to me. This is a betrayal and I hope, sincerely, that you lose every single single penny because of it.",1,12.6.1,0,0
99,Тонированная,2026-04-03T15:27:09-07:00,Недовольство,"I didn't like the update. Everything would be fine if they didn't change the thing with the music. Well, it's impossible to remove it adequately, only if you completely exit the application, it's not terrible, but maybe it's only for me. I don't know, either explain how to clean or change it.",5,12.6.1,1,2
100,Hbjihj,2026-04-03T15:20:10-07:00,Bhhhhhhuu,Jhhh,5,12.6.1,0,0
101,donalldtrmp,2026-04-03T14:51:19-07:00,The best messenger,Most secure and fastest,5,12.6.1,0,0
102,Leraakolinec,2026-04-03T13:20:39-07:00,Ty,That’s my favourite app!,5,12.6.1,0,0
103,к чёрту ваш псевдоним,2026-04-03T11:26:20-07:00,Обновился,"Захожу в чат, и какая-то загрузка. Чего оно загружает? Я до обновления заходил в оффлайне и прокручивал чат, а после обновления видите ли нужно сначала всё загрузить, а только потом будет доступен оффлайн.",2,12.6.1,0,0
104,شعبون,2026-04-03T11:04:56-07:00,تلكرام,ما يشتغل ب العراق هسه شنو سبب ؟!,5,12.6.1,0,0
105,Demaiodd,2026-04-03T11:03:14-07:00,اصبح سيء للغايه في الفتره الاخيره👎🏻,سيء,1,12.6.1,0,0
106,shomek7,2026-04-03T09:16:07-07:00,отзыв,почему перевод сообщений стал платный😩😩,1,12.6.1,0,0
107,Truvor157,2026-04-03T08:55:32-07:00,无法登陆账户,非常垃圾的软件 现在连账户都无法登陆,1,12.6.1,0,0
108,麒麟籽,2026-04-03T08:50:15-07:00,没有铃声,为什么更新后，打电话就没有铃声呢？,5,12.6.1,0,0
109,ZombieNuke665,2026-04-03T08:08:33-07:00,Forced AI update.,"Simply put, horrible AI forced feature which cannot be disabled that pops up when you are typing a sentence and gets in the way. An update made to fix an exploit slips on AI, how dishonest of these developers. Will be 1 star until the feature can be removed or disabled properly by the user.",1,12.6.1,0,0
110,jax.fentress,2026-04-03T07:59:32-07:00,Can’t open chats,For years my telegram has been buggy but this last update me it impossible for me to even use the app. My chats won’t open therefore I cannot respond to people.,1,12.6.1,0,0
111,Seradane,2026-04-03T07:49:53-07:00,Lose the AI Trash,"Take this garbage out, now.",1,12.6.1,0,0
112,Not1But2Cats,2026-04-03T07:36:26-07:00,Stop adding AI to things,Added AI slop to the platform when nobody asked for it,1,12.6.1,0,0
113,бырбыр патапим228,2026-04-03T07:00:10-07:00,Фу,Ничего не загружается,1,12.6.1,0,2
114,adoordashdriver,2026-04-03T06:59:17-07:00,REMOVE THE AI NON SENSE!,Very disappointed to see the AI writing “assistant” integrated into this platform,1,12.6.1,0,0
115,CryptoQuick,2026-04-03T06:05:01-07:00,Infested with scammers,Telegram is a great app but they don't do enough to make sure scammers don't abuse their platform. I know two people who have been hacked in the past month. These scammers really want me to use their calendly links. It sucks and makes the app hard to recommend.,4,12.6.1,0,0
116,NinjaKitsune,2026-04-03T05:29:36-07:00,Fix Your GIFs search bar,Fix Your GIFs search bar,1,12.6.1,0,0
117,originofamonia,2026-04-03T04:21:52-07:00,trash,complete trash! i just register an account and didn’t do anything. then my account is suspended???,1,12.6.1,1,1
118,hdfigkgofl,2026-04-03T03:13:53-07:00,Изменения с видео,"Пожалуйста, добавьте как было раньше, когда тапаешь 2 раза по видео, то оно приближает, а не перематывает как сейчас",5,12.6.1,0,0
119,Владимир Луговкин,2026-04-03T03:05:56-07:00,The GOAT,Лучшая соцсеть в мире,5,12.6.1,0,0
120,IbRaHeM6779,2026-04-03T02:21:24-07:00,العراق,التطبيق لا يفتح بالواي فاي فقط ع بيانات الجوال لماذا ؟,3,12.6.1,0,0
121,Doliver4383,2026-04-02T22:56:36-07:00,This app is not simple to use,"I'm going to be honest with you about something. Everscents you've updated this app, Voiceover support has gone down hill. And it, unfortunately shows in this update. I really hope you guys decide to fix voiceover support in this app, because you’re about to lose a ton of users on this application.",1,12.6.1,0,0
122,миллиса ли,2026-04-02T22:51:12-07:00,Лол,"на самом деле,это лучший мессенджер,которым я когда либо пользовалась…жаль,что Россия так притесняет его",5,12.6.1,1,1
123,саааашкааа,2026-04-02T22:08:08-07:00,новая функция,новая функция с ИИ просто супер!!,5,12.6.1,0,0
124,Оелалаьчл,2026-04-02T21:42:58-07:00,Best messenger,This is the best messenger that I ever used,5,12.6.1,0,0
125,zgr2849,2026-04-02T20:05:29-07:00,horrible,"supports horrible people and violence, app has no regulations",1,12.6.1,0,0
126,CopelandLife,2026-04-02T19:44:16-07:00,Good but needs improvements,App is great but I get catphishing calls from strangers and they lock out the settings to premium members. Makes me want to uninstall. Call quality and ease of access are great though. App is a good tool for chats like whatsapp,3,12.6.1,0,0
127,SyntheticYokai,2026-04-02T18:16:38-07:00,NO MORE AI,Stop giving us AI GARBAGE,1,12.6.1,0,0
128,KirillkaVortex,2026-04-02T15:41:32-07:00,Super,Super,5,12.6.1,0,0
129,Marvvie,2026-04-02T15:40:08-07:00,Ужасно,"Ужасное приложение.Заморозили уже 2 аккаунта!мою апелляцию игнорируют,хотя правил я не нарушала.ОТВЕТЬТЕ МНЕ",1,12.6.1,0,0
130,Saw Ira,2026-04-02T15:21:39-07:00,Camera,Camera’s,4,12.6.1,0,0
131,Thomas Forænos,2026-04-02T14:56:39-07:00,"Telegram, but worse",They added AI integration into the app.  looking for alternatives already.,1,12.6.1,0,0
132,DiZero9837479292,2026-04-02T12:31:27-07:00,New design sucks,"I’ve been always a fan of Telegram, but it’s getting worse and worse. The design makes the app so unusable. When I want to skip a song and play another one I can’t close this pop up window so I have to close the app to get rid of the song. Impossible to change the speed of a voice/video message. And the transparent messages, icons and etc is such a bad design decision. Please, make it white back. I thought I would get used to it but no. Thank you.",2,12.6.1,0,0
133,Романинино,2026-04-02T12:01:33-07:00,Пж,"Можете сделать так,чтобы когда открывал песни в профиле,то была не только часть песен,а вообще весь плейлист?",5,12.6.1,0,0
134,Дека алкдудщаща,2026-04-02T11:31:15-07:00,Вотч демо,Дэко,1,12.6.1,0,0
135,موسى علاوي فخري,2026-04-02T09:58:34-07:00,العراق🇮🇶,افضل تطبيق في العالم,5,12.6.1,0,0
136,Leo12345.exe,2026-04-02T09:58:18-07:00,Великолепное приложение.,"В последнем обновлении Дуров добавил ИИ редактор для средних и больших сообщений. Очень  понравилась данная функция а также, что Паша не бросает нас и делает это сразу с поддержкой русского языка. Приложением пользуюсь уже несколько лет. Рекомендую всем",5,12.6.1,0,0
137,Sisilea_Chan,2026-04-02T09:43:21-07:00,Music section is almost impossible to close,"This update presents a visually appealing design; however, an issue has been identified regarding the playlist interface. When I select a song, the playlist containing all music files is difficult to dismiss or close. Specifically, on iOS devices, attempting to swipe down to close the section inadvertently opens the iPhone Notification Center instead of exiting the music view. I hope that makes sense. Thank you. 🙏",4,12.6.1,7,9
138,печенькок,2026-04-02T09:29:04-07:00,.,верните функцию продавать подарки в любое время,1,12.6.1,0,0
139,Ash Wilcox,2026-04-02T06:24:45-07:00,AI Features,"Been using this app daily for years now. Always been happy with it. But I’m not a fan of these new AI features. I don’t need this thing wasting my battery to analyze everything I type, especially not for some dumb gimmick that most people will never use. At least let me disable these features. I love this app, but I can find something else if it continues this way.",1,12.6.1,0,0
140,Lacey Nelson 2008,2026-04-02T05:59:40-07:00,Privacy breached,"I enjoy this app overall, but they have breached my privacy. My legal name is not on my profile, all my settings are private, & I have not allowed it to be shared with my contacts…yet somehow a handy man that did some work for me & must have my number saved on his phone was sent a message that I was on telegram & click here to start chatting. I use this app as a separate private chat platform from my personal life. I do not appreciate this breach at all & wonder how many others were sent this or what else can be seen that I had no intention of sharing. I have sent three separate messages on telegram’s contact page (their only means of communicating) & have received no response. Maybe they’ll respond to this. User beware.",5,12.6.1,0,0
141,Lee_byeol,2026-04-02T05:40:30-07:00,I love this app,THE BEST APP IN THE WORLD THEY IMPROVED IT EVERY SINGLE TIME,5,12.6.1,0,0
142,Glitchingaf,2026-04-02T05:37:45-07:00,Glitching,I can't even chat in DMs just restricted for no reason I can only watch people’s stories almost like it is glitching,2,12.6.1,0,0
